"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.701660875E0,-3.329723835E0,1.034748316E0,-4.053716958E-1
1.711658875E0,-2.466694117E0,1.023108721E0,-2.867435813E-1
1.721656875E0,-1.414721608E0,1.110669494E0,-1.772463918E-1
1.731653875E0,-3.894861341E-1,1.269023418E0,-1.798871756E-1
1.741651875E0,4.271391630E-1,1.467804670E0,-3.332479298E-1
1.751648875E0,9.309546351E-1,1.563453197E0,-5.651423931E-1
1.761646875E0,1.153721333E0,1.608973145E0,-8.646371961E-1
1.771644875E0,1.209493995E0,1.595476031E0,-1.189065099E0
1.781641875E0,1.162427306E0,1.422401786E0,-1.538118839E0
1.791639875E0,1.013705730E0,1.163757682E0,-1.926764369E0
1.801636875E0,8.478575945E-1,9.503265619E-1,-2.287799120E0
1.811634875E0,7.662807107E-1,8.426948786E-1,-2.445031404E0
1.821632875E0,7.260440588E-1,9.787126780E-1,-2.543394566E0
1.831629875E0,6.871938705E-1,1.458087325E0,-2.866745949E0
1.841627875E0,7.725874186E-1,2.067813635E0,-3.803015471E0
1.851625875E0,1.059447050E0,2.185564518E0,-5.313065529E0
1.861622875E0,1.327007771E0,1.026601791E0,-6.562052727E0
1.871621125E0,1.637186646E0,-3.982828856E-1,-7.340929985E0
1.881618125E0,2.016338825E0,-2.587124705E-1,-7.824775219E0
1.891616125E0,2.183084488E0,1.770669818E0,-8.318361282E0
1.901614125E0,2.519659281E0,3.889227152E0,-8.293867111E0
1.911611125E0,3.161884069E0,4.715924263E0,-7.305493355E0
1.921609125E0,3.679208040E0,4.238144398E0,-6.312840462E0
1.931606125E0,3.687389851E0,3.703737974E0,-5.977511883E0
1.941604125E0,3.153136969E0,3.360921621E0,-5.914975166E0
1.951602125E0,2.395740747E0,3.190607548E0,-5.740012169E0
1.961599125E0,1.709988952E0,3.282669783E0,-5.380829334E0
1.971597125E0,1.267672777E0,3.527796507E0,-4.826623917E0
1.981595125E0,1.107036352E0,3.766914129E0,-4.068408489E0
1.991592125E0,1.150935888E0,3.849441528E0,-3.137514830E0
2.001590125E0,1.294238210E0,3.705246925E0,-2.101081133E0
2.011587125E0,1.364289165E0,3.357682943E0,-9.879044890E-1
2.021585125E0,1.231605768E0,2.979722500E0,1.582859159E-1
2.031583125E0,9.402096868E-1,2.794613600E0,1.244694829E0
2.041580125E0,4.986971319E-1,2.840052128E0,2.197529316E0
2.051578125E0,2.418934368E-3,3.075198650E0,2.963260651E0
2.061576125E0,-3.548036516E-1,3.395179033E0,3.523667336E0
