"Time (s)","X (hPa)"
3.129515271E2,9.644711304E2
3.140173661E2,9.644670105E2
3.150831911E2,9.644664764E2
3.161490771E2,9.644622040E2
3.172149191E2,9.644614410E2
3.182807451E2,9.644582367E2
3.193465881E2,9.644575500E2
3.204124011E2,9.644582367E2
3.214782731E2,9.644583130E2
3.225441591E2,9.644643402E2
3.236100761E2,9.644667053E2
3.246759671E2,9.644719696E2
3.257418171E2,9.644758606E2
3.268076871E2,9.644758606E2
3.278735651E2,9.644773865E2
3.289393991E2,9.644805908E2
3.300052011E2,9.644806671E2
3.310709981E2,9.644805908E2
3.321368351E2,9.644817352E2
3.332026201E2,9.644797516E2
3.342684091E2,9.644797516E2
3.353342141E2,9.644789124E2
3.364000451E2,9.644777679E2
3.374659191E2,9.644770813E2
3.385317851E2,9.644770813E2
3.395976501E2,9.644760895E2
3.406635421E2,9.644721222E2
3.417294071E2,9.644721222E2
3.427952561E2,9.644750977E2
3.438611211E2,9.644789124E2
3.449269561E2,9.644841766E2
3.459927891E2,9.644902802E2
3.470586591E2,9.644955444E2
3.481245021E2,9.644960785E2
3.491903501E2,9.644975281E2
3.502561771E2,9.644979095E2
3.513219761E2,9.644996643E2
3.523877851E2,9.644997406E2
3.534536121E2,9.644996643E2
3.545194031E2,9.644991302E2
3.555851831E2,9.644985962E2
3.566509721E2,9.644985962E2
3.577167421E2,9.644995117E2
3.587825191E2,9.645000458E2
3.598483021E2,9.645019531E2
3.609140841E2,9.645024872E2
3.619798691E2,9.645024872E2
3.630456301E2,9.645011902E2
3.641114031E2,9.644989014E2
3.651772071E2,9.644974518E2
3.662430141E2,9.644953156E2
3.673088131E2,9.644937134E2
3.683745931E2,9.644953156E2
3.694403941E2,9.644936371E2
3.705062101E2,9.644941711E2
3.715720151E2,9.644936371E2
3.726378261E2,9.644905090E2
3.737036491E2,9.644881439E2
3.747694661E2,9.644872284E2
3.758352621E2,9.644872284E2
3.769010751E2,9.644938660E2
3.779668741E2,9.644995880E2
3.790326621E2,9.645072937E2
3.800984111E2,9.645129395E2
3.811641651E2,9.645211029E2
3.822299461E2,9.645239258E2
3.832957451E2,9.645347595E2
