"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.131321417E0,-2.772479248E1,-3.349828339E1,1.707408333E1
3.141319417E0,-2.819215393E1,-3.342475128E1,1.634801674E1
3.151316417E0,-2.854989624E1,-3.351342773E1,1.567817497E1
3.161314417E0,-2.898822021E1,-3.322448730E1,1.517793274E1
3.171311417E0,-2.932710266E1,-3.311043549E1,1.517006493E1
3.181309417E0,-2.927172852E1,-3.278573608E1,1.542357635E1
3.191307417E0,-2.937863159E1,-3.274594879E1,1.564898872E1
3.201304417E0,-2.936380005E1,-3.241455841E1,1.614130211E1
3.211302417E0,-2.928009033E1,-3.242205811E1,1.635207748E1
3.221300417E0,-2.903431702E1,-3.233237457E1,1.668365669E1
3.231297417E0,-2.873643494E1,-3.248457336E1,1.699138069E1
3.241295417E0,-2.840934753E1,-3.247914886E1,1.744540787E1
3.251293417E0,-2.802636719E1,-3.266946411E1,1.786511421E1
3.261290417E0,-2.761856079E1,-3.282149506E1,1.864138412E1
3.271288417E0,-2.707789612E1,-3.306883240E1,1.899927902E1
3.281285417E0,-2.668698120E1,-3.318508148E1,1.918567085E1
3.291283417E0,-2.624346924E1,-3.350934601E1,1.948885536E1
3.301281417E0,-2.543713379E1,-3.386323929E1,1.921310043E1
3.311278417E0,-2.516825867E1,-3.449258041E1,1.896691132E1
3.321276417E0,-2.469570923E1,-3.500293350E1,1.871588135E1
3.331274417E0,-2.388127136E1,-3.596809006E1,1.839405632E1
3.341271417E0,-2.239936829E1,-3.658569336E1,1.838435936E1
3.351269417E0,-2.059730530E1,-3.754814911E1,1.879097366E1
3.361267417E0,-1.844595337E1,-3.815950775E1,1.990315437E1
3.371264417E0,-1.620686340E1,-3.870765686E1,2.059558678E1
3.381262417E0,-1.422618103E1,-3.885491180E1,2.175223160E1
3.391260417E0,-1.225500488E1,-3.917179871E1,2.242743683E1
3.401257417E0,-1.033815002E1,-3.939007568E1,2.288533211E1
3.411255417E0,-8.622787476E0,-3.988847351E1,2.280935860E1
3.421252417E0,-7.012954712E0,-4.015607452E1,2.285275078E1
3.431250417E0,-5.507812500E0,-4.058472443E1,2.254326248E1
3.441248417E0,-4.449905396E0,-4.097730255E1,2.197878838E1
3.451245417E0,-3.527816772E0,-4.150730896E1,2.115758705E1
3.461243417E0,-2.988998413E0,-4.196117783E1,2.031658745E1
