"Time (s)","X (hPa)"
1.434633412E2,9.635221100E2
1.445292042E2,9.635205841E2
1.455950682E2,9.635120392E2
1.466609512E2,9.635055542E2
1.477268192E2,9.634981537E2
1.487926632E2,9.634886169E2
1.498585292E2,9.634763336E2
1.509244002E2,9.634704590E2
1.519902392E2,9.634626770E2
1.530561172E2,9.634568787E2
1.541220142E2,9.634565735E2
1.551879542E2,9.634565735E2
1.562538272E2,9.634613800E2
1.573197692E2,9.634698486E2
1.583857142E2,9.634698486E2
1.594516832E2,9.634693909E2
1.605176412E2,9.634623718E2
1.615836132E2,9.634510040E2
1.626495722E2,9.634413147E2
1.637155612E2,9.634341431E2
1.647815152E2,9.634335327E2
1.658474782E2,9.634335327E2
1.669134152E2,9.634336853E2
1.679794122E2,9.634336853E2
1.690453682E2,9.634289551E2
1.701113022E2,9.634231567E2
1.711772432E2,9.634203339E2
1.722431462E2,9.634144592E2
1.733090702E2,9.634084320E2
1.743749822E2,9.634075928E2
1.754408702E2,9.634026337E2
1.765067842E2,9.633958435E2
1.775726972E2,9.633846283E2
1.786385762E2,9.633786774E2
1.797044592E2,9.633724976E2
1.807703562E2,9.633683777E2
1.818362332E2,9.633606720E2
1.829021712E2,9.633575439E2
1.839681102E2,9.633532715E2
1.850340282E2,9.633477783E2
1.860998992E2,9.633418274E2
1.871657292E2,9.633399963E2
1.882315922E2,9.633381653E2
1.892974362E2,9.633370209E2
1.903632722E2,9.633319092E2
1.914291052E2,9.633285522E2
1.924949222E2,9.633238983E2
1.935608092E2,9.633161163E2
1.946267002E2,9.633113098E2
1.956925942E2,9.633061218E2
1.967584932E2,9.633004761E2
1.978243642E2,9.632982635E2
1.988902212E2,9.632962036E2
1.999561372E2,9.632962036E2
2.010220652E2,9.633017731E2
2.020880122E2,9.633029938E2
2.031539252E2,9.633041382E2
2.042198082E2,9.633041382E2
2.052856762E2,9.633038330E2
2.063515692E2,9.633020020E2
2.074174892E2,9.633020020E2
2.084833772E2,9.633029175E2
2.095492322E2,9.633029175E2
2.106150902E2,9.633031464E2
2.116809512E2,9.633028412E2
2.127468522E2,9.633020782E2
2.138127922E2,9.632983398E2
2.148786422E2,9.632925415E2
2.159444842E2,9.632893372E2
2.170103602E2,9.632867432E2
2.180762352E2,9.632820892E2
2.191421162E2,9.632775116E2
2.202079892E2,9.632762146E2
2.212738432E2,9.632738495E2
2.223396602E2,9.632696533E2
2.234054852E2,9.632677460E2
2.244712982E2,9.632677460E2
2.255371202E2,9.632650757E2
2.266029032E2,9.632597351E2
2.276686972E2,9.632502747E2
2.287345212E2,9.632418060E2
2.298003712E2,9.632363892E2
2.308662502E2,9.632238007E2
2.319321612E2,9.632175446E2
2.329980222E2,9.632104492E2
2.340639072E2,9.631966400E2
2.351297972E2,9.631868744E2
2.361957292E2,9.631721497E2
2.372616372E2,9.631721497E2
2.383275452E2,9.631732178E2
2.393934492E2,9.631816101E2
2.404593142E2,9.631906891E2
2.415251762E2,9.632000732E2
2.425910132E2,9.632055664E2
2.436568862E2,9.632055664E2
2.447227662E2,9.632031250E2
2.457886012E2,9.631941223E2
2.468544852E2,9.631926727E2
2.479203602E2,9.631887054E2
2.489862332E2,9.631887054E2
2.500521152E2,9.631919098E2
2.511179742E2,9.632046509E2
2.521838562E2,9.632046509E2
2.532497282E2,9.632044983E2
2.543156322E2,9.631983185E2
2.553815212E2,9.631891632E2
2.564473712E2,9.631744385E2
2.575132312E2,9.631688690E2
2.585791222E2,9.631688690E2
2.596450122E2,9.631702423E2
2.607108922E2,9.631704712E2
2.617767962E2,9.631704712E2
2.628427012E2,9.631687927E2
2.639085782E2,9.631646729E2
2.649744672E2,9.631600189E2
2.660403462E2,9.631575012E2
2.671062602E2,9.631533813E2
2.681722232E2,9.631513977E2
2.692381712E2,9.631513977E2
2.703041332E2,9.631513977E2
2.713700832E2,9.631505585E2
2.724360022E2,9.631469727E2
2.735019342E2,9.631468201E2
2.745678692E2,9.631416321E2
2.756337912E2,9.631342316E2
2.766997412E2,9.631266785E2
2.777656782E2,9.631223297E2
2.788316562E2,9.631150818E2
2.798976162E2,9.631108093E2
2.809635832E2,9.631060028E2
2.820295872E2,9.631012726E2
2.830956022E2,9.630986023E2
2.841615802E2,9.630974579E2
2.852275652E2,9.630973816E2
2.862935312E2,9.630958557E2
2.873595112E2,9.630954742E2
2.884254982E2,9.630947113E2
2.894914842E2,9.630925751E2
2.905574522E2,9.630876160E2
2.916234192E2,9.630854034E2
2.926894362E2,9.630852509E2
2.937554272E2,9.630847931E2
2.948214132E2,9.630815887E2
2.958874052E2,9.630812836E2
2.969534282E2,9.630807495E2
2.980194292E2,9.630804443E2
