"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.220848944E2,4.736450035E1,8.509500727E0,4.405129200E2,1.412005996E0,2.842298584E2,1.231785514E1,1.097975274E1
1.230849046E2,4.736450459E1,8.509476076E0,4.404554832E2,1.702140681E0,2.842298584E2,1.241426017E1,1.087036319E1
1.240849128E2,4.736450606E1,8.509467563E0,4.405606744E2,1.438196302E0,2.842298584E2,1.250584483E1,9.987563743E0
1.250849217E2,4.736450917E1,8.509449498E0,4.409321670E2,1.641545786E0,2.842298584E2,1.259285045E1,1.082894692E1
1.260849297E2,4.736451234E1,8.509431115E0,4.410669189E2,1.575254655E0,2.842298584E2,1.267550563E1,1.078535397E1
1.270849380E2,4.736451473E1,8.509417249E0,4.409331664E2,1.404072946E0,2.842298584E2,1.275402800E1,1.036018507E1
1.280849459E2,4.736451839E1,8.509395970E0,4.403384819E2,1.543049612E0,2.842298584E2,1.282862435E1,1.104938541E1
1.290849545E2,4.736452139E1,8.509378214E0,4.408773217E2,1.484917458E0,2.830776062E2,1.289949085E1,1.084845291E1
1.300849620E2,4.736452724E1,8.509341116E0,4.403709712E2,2.255682306E0,2.830776062E2,1.296681410E1,1.107369879E1
1.310849691E2,4.736452815E1,8.509335343E0,4.400075490E2,1.426042638E0,2.830776062E2,1.303077108E1,1.173315867E1
1.320849776E2,4.736453074E1,8.509318959E0,4.396701432E2,1.401510323E0,2.830776062E2,1.309153027E1,1.171090286E1
1.330849851E2,4.736453406E1,8.509297897E0,4.394499093E2,1.499818352E0,2.830776062E2,1.314925151E1,1.169818190E1
1.340849921E2,4.736453588E1,8.509286364E0,4.405451938E2,1.708747618E0,2.830776062E2,1.320408662E1,1.191906534E1
1.350849998E2,4.736453935E1,8.509264372E0,4.407658542E2,1.890729596E0,2.830776062E2,1.325618004E1,1.121071324E1
1.360850065E2,4.736454146E1,8.509251041E0,4.406761747E2,1.566054530E0,2.830776062E2,1.330566876E1,1.014519632E1
1.370850126E2,4.736454454E1,8.509231496E0,4.410769000E2,1.511723048E0,2.830776062E2,1.335268312E1,1.043924234E1
1.380850197E2,4.736454778E1,8.509210995E0,4.412392637E2,1.561537276E0,2.830776062E2,1.339734669E1,1.044754481E1
1.390850264E2,4.736455012E1,8.509196160E0,4.413202726E2,1.378234720E0,2.830776062E2,1.343977710E1,1.080527577E1
1.400850340E2,4.736455140E1,8.509188042E0,4.411374514E2,1.109599816E0,2.830776062E2,1.348008596E1,1.150958348E1
1.410850398E2,4.736455675E1,8.509153659E0,4.408862638E2,1.910425195E0,2.824656982E2,1.351837955E1,1.165890012E1
1.420850471E2,4.736455981E1,8.509133304E0,4.401874165E2,1.553599455E0,2.824656982E2,1.355475823E1,1.184971387E1
1.430850535E2,4.736456216E1,8.509117621E0,4.397396422E2,1.358674633E0,2.824656982E2,1.358931805E1,1.222399322E1
1.440850602E2,4.736456371E1,8.509107289E0,4.409718632E2,1.019060005E0,2.824656982E2,1.362214989E1,1.246401961E1
1.450850657E2,4.736456619E1,8.509090803E0,4.413901183E2,1.088942169E0,2.824656982E2,1.365334013E1,1.271746507E1
1.460850727E2,4.736456958E1,8.509068202E0,4.415855136E2,1.369117469E0,2.824656982E2,1.368297094E1,1.286255665E1
1.470850795E2,4.736457050E1,8.509062085E0,4.409942176E2,7.806002550E-1,2.824656982E2,1.371111998E1,1.227960863E1
1.480850845E2,4.736457187E1,8.509053005E0,4.419119610E2,8.677965790E-1,2.824656982E2,1.373786179E1,1.320539520E1
1.490850913E2,4.736457577E1,8.509026980E0,4.416805659E2,1.527501979E0,2.824656982E2,1.376326659E1,1.347219700E1
1.500850971E2,4.736457922E1,8.509004022E0,4.415266583E2,1.817560203E0,2.824656982E2,1.378740106E1,1.335747375E1
1.510851034E2,4.736458243E1,8.508982655E0,4.416929668E2,1.868981740E0,2.824656982E2,1.381032883E1,1.355608418E1
1.520851099E2,4.736458361E1,8.508974833E0,4.417625348E2,1.424865580E0,2.824656982E2,1.383211007E1,1.382957492E1
1.530851154E2,4.736458469E1,8.508967596E0,4.412986616E2,1.119827558E0,2.824656982E2,1.385280226E1,1.410348210E1
1.540851230E2,4.736458949E1,8.508935646E0,4.417550150E2,1.856172039E0,2.824656982E2,1.387246011E1,1.425888689E1
1.550851280E2,4.736459224E1,8.508917345E0,4.411073182E2,1.480436997E0,2.824656982E2,1.389113480E1,1.472865478E1
1.560851335E2,4.736459547E1,8.508895863E0,4.409423090E2,1.447080413E0,2.824656982E2,1.390887579E1,1.469160816E1
1.570851396E2,4.736459541E1,8.508896254E0,4.410835187E2,7.707083707E-1,2.824656982E2,1.392572955E1,1.481248548E1
1.580851453E2,4.736459855E1,8.508875257E0,4.410961259E2,1.078480213E0,2.822376099E2,1.394174097E1,1.477528647E1
1.590851520E2,4.736460125E1,8.508856930E0,4.408953945E2,1.296739283E0,2.822376099E2,1.395695173E1,1.428506145E1
1.600851576E2,4.736460507E1,8.508830994E0,4.405290799E2,1.638793707E0,2.822376099E2,1.397140196E1,1.408193667E1
1.610851631E2,4.736460784E1,8.508812229E0,4.408657633E2,1.707079075E0,2.822376099E2,1.398512959E1,1.385836399E1
1.620851686E2,4.736460271E1,8.508784576E0,4.414045543E2,1.870778617E0,2.822376099E2,1.399817096E1,1.408114326E1
1.630851755E2,4.736461015E1,8.508778621E0,4.416866387E2,1.450212271E0,2.822376099E2,1.361773945E1,1.457539297E1
1.640851812E2,4.736461472E1,8.508765506E0,4.413440218E2,1.304195087E0,2.822376099E2,1.314820816E1,1.388271363E1
1.650851863E2,4.736461398E1,8.508770516E0,4.428420571E2,6.543142650E-1,2.822376099E2,1.270841654E1,1.291595649E1
1.660851925E2,4.736461501E1,8.508763530E0,4.434744401E2,7.582107163E-1,2.822376099E2,1.225007087E1,1.332565749E1
1.670851984E2,4.736461726E1,8.508748268E0,4.439046117E2,8.380556492E-1,2.822376099E2,1.183308616E1,1.300755393E1
1.680852042E2,4.736461942E1,8.508733636E0,4.432154089E2,7.152297395E-1,2.822376099E2,1.153556257E1,1.071641390E1
1.690852107E2,4.736461992E1,8.508730256E0,4.435916328E2,4.857030650E-1,2.822376099E2,1.115203287E1,9.345186680E0
1.700852157E2,4.736462230E1,8.508714057E0,4.438705629E2,8.269210165E-1,2.822376099E2,1.081468837E1,8.219265508E0
1.710852222E2,4.736462425E1,8.508700863E0,4.439313905E2,9.545112018E-1,2.822376099E2,1.054641098E1,7.691332757E0
1.720852265E2,4.736462773E1,8.508677260E0,4.439539741E2,1.163710620E0,2.822376099E2,1.032650588E1,7.369916136E0
1.730852325E2,4.736463089E1,8.508655775E0,4.444159061E2,1.426331502E0,2.822376099E2,9.995104489E0,7.132327540E0
1.740852386E2,4.736463410E1,8.508632787E0,4.433672639E2,1.481920620E0,2.810010376E2,9.789445065E0,7.118977415E0
1.750852442E2,4.736463651E1,8.508614494E0,4.437757950E2,1.432234292E0,2.810010376E2,9.540175163E0,6.826192083E0
1.760852500E2,4.736463918E1,8.508594321E0,4.438772272E2,1.408450797E0,2.810010376E2,9.332821837E0,6.545147069E0
