"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.836134309E1,4.736400334E1,8.512567917E0,4.328965585E2,5.038153612E0,1.286505506E2,1.700071096E1,1.118129433E1
6.936136634E1,4.736396816E1,8.512653263E0,4.342201698E2,6.423929056E0,1.316181407E2,1.647549061E1,1.050438123E1
7.036138970E1,4.736396665E1,8.512736460E0,4.333025076E2,6.192096932E0,1.210313508E2,1.590043374E1,9.947926304E0
7.136141163E1,4.736394409E1,8.512824902E0,4.333184798E2,6.836924641E0,1.199419705E2,1.515013684E1,9.321442421E0
7.236082095E1,4.736396155E1,8.512901916E0,4.331452861E2,6.218638070E0,1.064917311E2,1.453146418E1,9.607671207E0
7.336081714E1,4.736400357E1,8.512954833E0,4.366376482E2,5.136896421E0,8.106735756E1,1.379671595E1,8.836928167E0
7.436081690E1,4.736397713E1,8.513017797E0,4.337733677E2,4.730564697E0,9.902525725E1,1.336417244E1,8.594057680E0
7.536080081E1,4.736394525E1,8.513049234E0,4.333222958E2,3.995134268E0,1.180025863E2,1.287888332E1,8.252207975E0
7.604198663E1,4.736392324E1,8.513062812E0,4.330762477E2,3.802517129E-1,1.780180974E2,1.146810605E1,5.270132408E0
7.704199903E1,4.736392703E1,8.513056740E0,4.331323718E2,3.688205651E-1,1.780180934E2,1.125508820E1,5.787064380E0
7.804201286E1,4.736394897E1,8.512982899E0,4.348284258E2,2.510290124E0,2.802720236E2,1.092902318E1,5.980963106E0
7.904202454E1,4.736393997E1,8.512968780E0,4.332193048E2,1.750789408E0,2.664840027E2,1.079089676E1,6.086832900E0
8.004203801E1,4.736395005E1,8.512936670E0,4.331241366E2,1.691826719E0,2.807411736E2,1.043555499E1,5.813216699E0
8.104205279E1,4.736398104E1,8.512844990E0,4.365398238E2,3.891665652E0,2.891108953E2,1.016176043E1,5.860487302E0
8.204206710E1,4.736397431E1,8.512810657E0,4.324291045E2,3.050916913E0,2.878210946E2,9.889713567E0,5.656922471E0
8.304208069E1,4.736398114E1,8.512769391E0,4.321397234E2,2.771190126E0,2.922126929E2,9.749216919E0,5.755446543E0
8.404209476E1,4.736402074E1,8.512675429E0,4.371303147E2,4.935861675E0,3.001873986E2,9.607174340E0,5.619935304E0
8.504210990E1,4.736402386E1,8.512591752E0,4.356717615E2,5.249339729E0,2.929939630E2,9.419172011E0,5.552373667E0
8.604212504E1,4.736401969E1,8.512530488E0,4.352457425E2,4.697526174E0,2.891144819E2,9.199802140E0,5.291190639E0
8.704214017E1,4.736403476E1,8.512456377E0,4.385726427E2,4.925974484E0,2.920201587E2,8.986832134E0,5.270237650E0
8.804215508E1,4.736405084E1,8.512408169E0,4.362145889E2,4.422569863E0,3.011065255E2,8.988154521E0,5.084634511E0
8.904217117E1,4.736403810E1,8.512359417E0,4.332424996E2,3.508743837E0,2.856872606E2,8.823229360E0,5.160166162E0
9.004218679E1,4.736404435E1,8.512289936E0,4.331789484E2,3.810976983E0,2.768211066E2,8.783071325E0,5.853374909E0
9.104220228E1,4.736406598E1,8.512196833E0,4.332413165E2,4.915670211E0,2.843269120E2,8.575108595E0,5.463466558E0
9.204221838E1,4.736407310E1,8.512145534E0,4.334361255E2,4.431246476E0,2.876366921E2,8.383005925E0,4.995929576E0
9.304223459E1,4.736409513E1,8.512074953E0,4.344597548E2,4.957533670E0,2.917447238E2,8.159504202E0,5.675094630E0
9.410200247E1,4.736414336E1,8.512010756E0,4.353599059E2,9.625440899E-2,3.080632184E2,1.409726553E1,8.878952652E0
9.510202047E1,4.736414054E1,8.512050040E0,4.346655051E2,1.150408965E0,9.419430136E1,1.442109288E1,9.183426520E0
