"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.187620667E0,-2.868121338E1,2.175251770E1,-1.306179810E1
1.197618667E0,-2.771374512E1,2.286185646E1,-1.353010559E1
1.207617667E0,-2.670094299E1,2.355551720E1,-1.397611618E1
1.217615667E0,-2.602195740E1,2.430128479E1,-1.461648941E1
1.227613667E0,-2.546702576E1,2.482428932E1,-1.512755585E1
1.237612667E0,-2.491642761E1,2.519121933E1,-1.580164719E1
1.247610667E0,-2.439862061E1,2.549699974E1,-1.653468704E1
1.257608667E0,-2.420269775E1,2.578863716E1,-1.686574936E1
1.267607667E0,-2.428294373E1,2.597215462E1,-1.673608780E1
1.277605667E0,-2.487115479E1,2.625964737E1,-1.641270828E1
1.287603667E0,-2.589147949E1,2.619640160E1,-1.522517014E1
1.297602667E0,-2.716839600E1,2.608061981E1,-1.457751465E1
1.307600667E0,-2.860757446E1,2.552309608E1,-1.355435944E1
1.317598667E0,-2.993840027E1,2.460753250E1,-1.304010391E1
1.327597042E0,-3.123039246E1,2.328657150E1,-1.287528992E1
1.337595042E0,-3.289930725E1,2.147487068E1,-1.328011703E1
1.347593042E0,-3.420440674E1,1.903398514E1,-1.444434738E1
1.357592042E0,-3.552491760E1,1.589227104E1,-1.606617355E1
1.367590042E0,-3.628004456E1,1.230177879E1,-1.804028320E1
1.377588042E0,-3.677079773E1,8.283185959E0,-1.989429855E1
1.387587042E0,-3.627491760E1,3.872663498E0,-2.216303635E1
1.397585042E0,-3.543742371E1,-1.063760757E0,-2.430013657E1
1.407583042E0,-3.343051147E1,-5.961435318E0,-2.646077347E1
1.417582042E0,-3.052204895E1,-1.167037392E1,-2.783292007E1
1.427580042E0,-2.636817932E1,-1.744367409E1,-2.878169632E1
1.437578042E0,-2.173515320E1,-2.333224106E1,-2.898063660E1
1.447577042E0,-1.618838501E1,-2.820207214E1,-2.813383484E1
1.457575042E0,-9.945251465E0,-3.208057404E1,-2.727608871E1
1.467573042E0,-3.560653687E0,-3.466145325E1,-2.614039993E1
1.477572042E0,2.474166870E0,-3.605265808E1,-2.467764664E1
1.487570042E0,8.026611328E0,-3.620922852E1,-2.304162216E1
1.497568042E0,1.341854858E1,-3.564797211E1,-2.161872864E1
1.507567042E0,1.766653442E1,-3.447193909E1,-2.013964844E1
1.517565042E0,2.105575562E1,-3.363303375E1,-1.892893982E1
1.527564042E0,2.317422485E1,-3.293579102E1,-1.770685577E1
1.537562042E0,2.480067444E1,-3.271475220E1,-1.639109421E1
1.547560042E0,2.512339783E1,-3.310132599E1,-1.487019730E1
1.557559042E0,2.448977661E1,-3.424459076E1,-1.390627289E1
1.567557042E0,2.252618408E1,-3.580834579E1,-1.263259888E1
1.577555042E0,1.987695312E1,-3.794823837E1,-1.183399200E1
1.587554042E0,1.632424927E1,-3.960409927E1,-1.152493286E1
1.597552042E0,1.172016907E1,-4.109611511E1,-1.242004013E1
1.607550042E0,5.362075806E0,-4.157483673E1,-1.442734909E1
1.617549042E0,-1.578231812E0,-4.106783295E1,-1.691479874E1
1.627547042E0,-8.791824341E0,-3.891916656E1,-1.927187729E1
1.637546042E0,-1.521511841E1,-3.568723297E1,-2.109292984E1
1.647544042E0,-2.093865967E1,-3.174717522E1,-2.228524399E1
1.657542042E0,-2.584934998E1,-2.731676102E1,-2.293423462E1
1.667541042E0,-3.023463440E1,-2.172672653E1,-2.299162292E1
1.677539042E0,-3.408439636E1,-1.474416351E1,-2.316079330E1
1.687537042E0,-3.655131531E1,-7.372753143E0,-2.224516678E1
1.697536042E0,-3.750938416E1,-8.954334259E-1,-2.208429718E1
1.707534042E0,-3.727558899E1,4.484178543E0,-2.204079437E1
1.717532042E0,-3.650717163E1,8.627206802E0,-2.252111053E1
1.727531042E0,-3.526269531E1,1.181411171E1,-2.294326782E1
1.737529042E0,-3.410508728E1,1.384691143E1,-2.382897568E1
1.747527042E0,-3.280081177E1,1.528383827E1,-2.474216080E1
1.757526042E0,-3.191421509E1,1.639805031E1,-2.544216919E1
1.767524042E0,-3.123236084E1,1.749991989E1,-2.573072052E1
1.777522042E0,-3.101570129E1,1.862111664E1,-2.581069946E1
1.787521042E0,-3.084902954E1,1.993061066E1,-2.505740356E1
1.797519042E0,-3.102214050E1,2.103667259E1,-2.394400406E1
1.807517042E0,-3.142262268E1,2.184736252E1,-2.310923386E1
1.817516042E0,-3.203553772E1,2.208829498E1,-2.182183838E1
1.827514042E0,-3.265757751E1,2.222836876E1,-2.087483215E1
1.837512042E0,-3.360383606E1,2.207235909E1,-1.976286697E1
1.847511042E0,-3.433412170E1,2.171584320E1,-1.847927475E1
1.857509042E0,-3.540727234E1,2.084873390E1,-1.785050201E1
1.867507042E0,-3.622613525E1,1.932905960E1,-1.748746872E1
1.877506042E0,-3.706086731E1,1.673168564E1,-1.792361069E1
1.887504042E0,-3.779931641E1,1.337751770E1,-1.869811249E1
1.897502042E0,-3.844903564E1,9.090118408E0,-1.954138565E1
1.907501042E0,-3.820219421E1,4.459978104E0,-2.065229416E1
1.917499042E0,-3.792366028E1,-3.954658508E-1,-2.192527008E1
1.927497042E0,-3.665933228E1,-4.946216583E0,-2.288989258E1
1.937496042E0,-3.500376892E1,-9.701038361E0,-2.398673248E1
1.947494042E0,-3.256802368E1,-1.446828842E1,-2.463664246E1
1.957492042E0,-2.926037598E1,-1.953229523E1,-2.551068497E1
1.967491042E0,-2.502919006E1,-2.450948334E1,-2.530012894E1
1.977489042E0,-1.991140747E1,-2.912137222E1,-2.479404831E1
1.987487042E0,-1.433380127E1,-3.282947540E1,-2.407644272E1
1.997486042E0,-8.193328857E0,-3.570250320E1,-2.371858597E1
2.007484042E0,-1.789794922E0,-3.739771652E1,-2.247045517E1
2.017482042E0,3.952804565E0,-3.843449402E1,-2.086051559E1
2.027481042E0,9.596206665E0,-3.816469574E1,-1.941982651E1
2.037479042E0,1.468191528E1,-3.705113220E1,-1.883121872E1
2.047477042E0,1.931503296E1,-3.516066742E1,-1.824480820E1
2.057476042E0,2.339169312E1,-3.328194809E1,-1.733702850E1
