"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.094813500E0,1.131764221E1,-4.510225296E1,-9.009269714E0
2.104811500E0,1.096922302E1,-4.577772903E1,-8.150386810E0
2.114809500E0,9.972732544E0,-4.621588135E1,-7.247432709E0
2.124807500E0,8.312789917E0,-4.639456940E1,-6.821552277E0
2.134805500E0,6.148757935E0,-4.656243896E1,-6.579006195E0
2.144803500E0,3.873275757E0,-4.689187622E1,-6.708255768E0
2.154801500E0,1.447174072E0,-4.723674011E1,-7.339134216E0
2.164798500E0,-1.193161011E0,-4.717103577E1,-7.223461151E0
2.174796500E0,-4.058807373E0,-4.694660568E1,-7.442363739E0
2.184794500E0,-7.295059204E0,-4.636806870E1,-7.838867188E0
2.194792500E0,-1.100454712E1,-4.535733032E1,-8.089595795E0
2.204790500E0,-1.528343201E1,-4.416289520E1,-8.525066376E0
2.214788500E0,-1.974081421E1,-4.244819641E1,-8.695278168E0
2.224786500E0,-2.413800049E1,-4.006849670E1,-9.315303802E0
2.234784500E0,-2.808265686E1,-3.710457611E1,-1.017720032E1
2.244782500E0,-3.141453552E1,-3.371633911E1,-1.125286102E1
2.254780500E0,-3.446362305E1,-3.009126091E1,-1.214691162E1
2.264778500E0,-3.710244751E1,-2.599944878E1,-1.312310410E1
2.274776500E0,-3.969396973E1,-2.155234337E1,-1.454283905E1
2.284773500E0,-4.186331177E1,-1.603830528E1,-1.523465729E1
2.294771500E0,-4.345469666E1,-1.020343590E1,-1.573221207E1
2.304769500E0,-4.416734314E1,-4.575124741E0,-1.578084564E1
2.314767500E0,-4.422680664E1,6.774578094E-1,-1.540319061E1
2.324765500E0,-4.389221191E1,5.441400528E0,-1.488459015E1
2.334763500E0,-4.368841553E1,9.637248993E0,-1.414197159E1
2.344761500E0,-4.330213928E1,1.279967022E1,-1.402911377E1
2.354759500E0,-4.290486145E1,1.468510818E1,-1.395315552E1
2.364757500E0,-4.230467224E1,1.561420822E1,-1.389612579E1
2.374755500E0,-4.231163025E1,1.543045235E1,-1.374684525E1
2.384752500E0,-4.228675842E1,1.520300293E1,-1.416845322E1
2.394750500E0,-4.222097778E1,1.506305790E1,-1.461329269E1
2.404748500E0,-4.230187988E1,1.466031170E1,-1.540627289E1
2.414746500E0,-4.232936096E1,1.412360859E1,-1.603590012E1
2.424744500E0,-4.230004883E1,1.318266201E1,-1.609423828E1
2.434742500E0,-4.236318970E1,1.222856712E1,-1.670365143E1
2.444740125E0,-4.248587036E1,1.095648193E1,-1.672703552E1
2.454738125E0,-4.279797363E1,9.846120834E0,-1.675066757E1
2.464736125E0,-4.317413330E1,8.805807114E0,-1.712582779E1
2.474734125E0,-4.341253662E1,7.799213409E0,-1.693760681E1
2.484731125E0,-4.350154114E1,6.705442429E0,-1.691612244E1
2.494729125E0,-4.351358032E1,5.745117188E0,-1.670045471E1
2.504727125E0,-4.356100464E1,4.829853058E0,-1.644265747E1
2.514725125E0,-4.391117859E1,3.563579559E0,-1.658014679E1
2.524723125E0,-4.395887756E1,2.196050644E0,-1.665064621E1
2.534721125E0,-4.395323181E1,7.722167969E-1,-1.694662476E1
2.544719125E0,-4.350534058E1,-8.316459656E-1,-1.748080063E1
2.554717125E0,-4.319313049E1,-2.787611008E0,-1.794116974E1
2.564715125E0,-4.291981506E1,-5.108058929E0,-1.819586563E1
2.574713125E0,-4.263262939E1,-7.518346786E0,-1.820154953E1
2.584710125E0,-4.218348694E1,-1.016169167E1,-1.862044144E1
2.594708125E0,-4.132228088E1,-1.274659157E1,-1.876605606E1
