"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.464945500E0,1.240560055E0,2.776880980E0,4.428462029E0
1.474943500E0,9.280890226E-1,2.684823275E0,5.400886536E0
1.484941500E0,2.733849585E-1,2.029375553E0,6.367856503E0
1.494939500E0,-2.248032391E-1,1.581980467E0,7.234683514E0
1.504937500E0,-4.858372211E-1,1.325558782E0,7.893972397E0
1.514935500E0,-7.998591065E-1,1.254837990E0,8.390065193E0
1.524933500E0,-1.467313647E0,9.182413220E-1,8.725127220E0
1.534931500E0,-2.206162453E0,2.950056791E-1,9.080068588E0
1.544929500E0,-3.002026320E0,-1.702933013E-1,9.323119164E0
1.554927500E0,-3.648864031E0,-6.312376261E-1,9.497560501E0
1.564924500E0,-4.076814175E0,-1.047952175E0,9.658957481E0
1.574922500E0,-4.295430660E0,-1.370377302E0,9.472072601E0
1.584920500E0,-4.389657974E0,-1.542993069E0,8.833149910E0
1.594918500E0,-4.493955135E0,-1.581161022E0,8.018664360E0
1.604916500E0,-4.558821201E0,-1.674153805E0,7.569557190E0
1.614914500E0,-4.486930370E0,-1.877130628E0,7.531164169E0
1.624912500E0,-4.087458134E0,-2.305649281E0,7.665462494E0
1.634910500E0,-3.270449162E0,-2.782619476E0,7.763415813E0
1.644908500E0,-2.143690348E0,-3.082580566E0,7.912122250E0
1.654906500E0,-1.258831978E0,-2.497291327E0,8.766045570E0
1.664903500E0,-1.022174239E0,-1.092706680E0,1.034118462E1
1.674901500E0,-9.666291475E-1,-1.394405663E-1,1.070586205E1
1.684899500E0,-9.904066324E-1,4.078294635E-1,7.126838207E0
1.694897500E0,-9.890584946E-1,6.191194057E-1,2.425438643E0
1.704895500E0,-1.709851503E0,3.813244402E-2,-7.042412758E-1
1.714893500E0,-2.736106396E0,5.837418437E-1,-3.077862978E0
1.724891500E0,-3.096295357E0,1.099324107E0,-3.329619646E0
1.734889500E0,-2.515952587E0,1.063555837E0,-2.710805655E0
1.744887500E0,-1.705249667E0,4.522043765E-1,-2.412274837E0
1.754885500E0,-1.309612513E0,1.779924035E-1,-2.696381569E0
1.764882500E0,-1.211017251E0,4.918645918E-1,-3.277167797E0
1.774880500E0,-1.379381537E0,9.056628346E-1,-3.813507795E0
1.784878500E0,-1.690253377E0,1.100023627E0,-4.067060947E0
1.794876500E0,-1.950718045E0,1.232708693E0,-4.119141579E0
1.804874500E0,-1.942994118E0,1.377850652E0,-4.042583942E0
1.814872500E0,-1.799000740E0,1.268155932E0,-3.802394152E0
1.824870500E0,-1.642248631E0,1.004631639E0,-3.443314314E0
1.834868500E0,-1.383215189E0,8.358096480E-1,-3.045877457E0
1.844866500E0,-1.126639843E0,6.289592981E-1,-2.796044350E0
1.854864500E0,-7.119557858E-1,6.439023614E-1,-2.903334856E0
1.864861500E0,-1.838400662E-1,9.284379482E-1,-3.444064617E0
1.874859500E0,2.905327678E-1,1.210694194E0,-4.208065510E0
1.884857500E0,6.478171349E-1,1.378401160E0,-4.691357136E0
1.894855500E0,8.026210666E-1,1.509984732E0,-4.567890167E0
1.904853500E0,8.014114499E-1,1.930193186E0,-4.187711716E0
1.914851500E0,8.178613186E-1,2.500792503E0,-4.393102169E0
1.924849500E0,8.865535855E-1,2.934604883E0,-5.315877438E0
1.934847500E0,9.010428786E-1,3.041132212E0,-6.236632347E0
1.944845500E0,9.614295363E-1,3.139714718E0,-6.852180481E0
1.954842500E0,1.328074813E0,3.531083584E0,-7.334853649E0
1.964840500E0,2.076056480E0,4.032993317E0,-7.897769928E0
1.974838500E0,3.199651957E0,4.314650536E0,-8.654173851E0
1.984836500E0,4.389472961E0,4.254604816E0,-9.474231720E0
1.994834500E0,5.459440231E0,3.813528776E0,-1.020220470E1
2.004832500E0,6.162207127E0,3.029489279E0,-1.039887047E1
2.014830500E0,6.118797302E0,2.092323542E0,-9.857241631E0
2.024828500E0,5.239386082E0,1.436324239E0,-9.156368256E0
2.034826500E0,4.011543751E0,1.469353676E0,-8.570230484E0
2.044824500E0,2.922834873E0,1.826533318E0,-7.657936096E0
2.054822500E0,2.290768147E0,2.244158506E0,-6.137468815E0
2.064819500E0,2.288110018E0,2.361951828E0,-4.214442253E0
2.074817500E0,2.546736240E0,1.974098325E0,-2.241518736E0
2.084815500E0,2.487889290E0,1.287966847E0,-3.665224910E-1
2.094813500E0,1.924096227E0,1.017247677E0,1.436937690E0
2.104811500E0,1.213248968E0,1.340458274E0,3.051871538E0
2.114809500E0,5.391693711E-1,1.807726383E0,4.303864002E0
2.124807500E0,-7.520645112E-2,1.934552193E0,5.177320004E0
2.134805500E0,-5.288372636E-1,1.936228514E0,5.633953571E0
2.144803500E0,-6.908684969E-1,1.848504305E0,5.717422485E0
2.154801500E0,-6.451544762E-1,1.468573332E0,5.866602898E0
2.164798500E0,-6.207873821E-1,8.545241356E-1,6.379115582E0
2.174796500E0,-6.499423981E-1,1.662757248E-1,7.348911285E0
2.184794500E0,-8.364169598E-1,-4.063017964E-1,8.582482338E0
2.194792500E0,-1.123077750E0,-6.777361035E-1,9.709701538E0
2.204790500E0,-1.482753873E0,-7.402207851E-1,1.046256924E1
2.214788500E0,-1.977359772E0,-7.447965741E-1,1.070055103E1
2.224786500E0,-2.562273502E0,-5.444821119E-1,1.034648895E1
2.234784500E0,-3.208941221E0,-2.608931363E-1,9.767595291E0
2.244782500E0,-3.847987413E0,-7.462554425E-2,9.496126175E0
2.254780500E0,-4.411336899E0,2.263702638E-2,9.771773338E0
2.264778500E0,-4.892568111E0,-2.614462748E-2,1.067285156E1
2.274776500E0,-5.312256336E0,-3.093565106E-1,1.183844757E1
2.284773500E0,-5.427522659E0,-5.886009336E-1,1.198936462E1
2.294771500E0,-4.945958614E0,-7.402989268E-1,1.096882534E1
2.304769500E0,-4.177790165E0,-8.147342801E-1,9.710995674E0
2.314767500E0,-3.801396132E0,-1.224246740E0,8.782827377E0
2.324765500E0,-4.008512974E0,-8.783846498E-1,7.860552311E0
2.334763500E0,-4.081201553E0,6.999410391E-1,5.473762989E0
2.344761500E0,-3.024099588E0,1.271122456E0,2.759527922E0
2.354759500E0,-2.596748114E0,5.633697510E-1,2.127992064E-1
2.364757500E0,-2.271839619E0,1.097819567E0,-1.658028603E0
2.374755500E0,-1.724216938E0,1.615221262E0,-1.680205822E0
2.384752500E0,-1.131923795E0,2.209128141E0,-1.025473952E0
2.394750500E0,-5.016378760E-1,1.848272800E0,-1.118786454E0
2.404748500E0,-3.332291842E-1,9.320476055E-1,-1.758982182E0
2.414746500E0,-5.099940896E-1,5.447002649E-1,-2.438867092E0
2.424744500E0,-7.362410426E-1,6.923898458E-1,-2.865183115E0
2.434742500E0,-9.402061701E-1,8.722722530E-1,-2.933411837E0
2.444740125E0,-1.053938031E0,8.437525034E-1,-2.884878159E0
2.454738125E0,-1.145060420E0,4.777501523E-1,-2.909907579E0
2.464736125E0,-1.232197762E0,2.736754157E-2,-3.012157917E0
2.474734125E0,-1.347874880E0,-3.152400553E-1,-3.057552338E0
2.484731125E0,-1.448649645E0,-3.845027685E-1,-2.972073317E0
2.494729125E0,-1.269895911E0,-1.351810098E-1,-2.939925194E0
2.504727125E0,-7.707667947E-1,2.682175934E-1,-2.982572317E0
2.514725125E0,-1.370558143E-1,6.045288444E-1,-3.152562141E0
2.524723125E0,5.226571560E-1,7.779576182E-1,-3.357816458E0
2.534721125E0,1.248096824E0,9.391325116E-1,-3.609375954E0
2.544719125E0,2.120198250E0,9.875010848E-1,-3.827079296E0
2.554717125E0,2.968281269E0,1.008551836E0,-4.052596092E0
2.564715125E0,3.543707132E0,1.080741048E0,-4.351617336E0
2.574713125E0,3.432487965E0,1.248371005E0,-4.638437271E0
2.584710125E0,2.488682508E0,1.776855946E0,-4.906284809E0
2.594708125E0,1.396556139E0,2.314149141E0,-5.346082687E0
2.604706125E0,8.821444511E-1,2.737263203E0,-6.001121998E0
2.614704125E0,1.231500745E0,2.794692516E0,-6.735745430E0
2.624702125E0,2.227782249E0,2.204858780E0,-7.210173130E0
2.634700125E0,3.175122738E0,1.555478692E0,-7.657220840E0
2.644698125E0,3.637990475E0,1.283647180E0,-8.347892761E0
2.654696125E0,3.757529974E0,1.603906512E0,-8.966541290E0
2.664694125E0,3.714041471E0,1.563195586E0,-8.990415573E0
2.674692125E0,3.447506905E0,1.429434061E0,-8.679866791E0
2.684689125E0,3.090816021E0,1.237314582E0,-8.309033394E0
2.694687125E0,2.600152731E0,1.325957060E0,-8.118501663E0
2.704685125E0,2.361910820E0,1.783567786E0,-7.662600517E0
2.714683125E0,2.434120655E0,2.120730400E0,-6.610412121E0
2.724681125E0,2.591804743E0,2.093055964E0,-5.208640575E0
2.734679125E0,2.575657129E0,1.836744905E0,-3.694520235E0
2.744677125E0,2.411966324E0,1.852793097E0,-2.228393316E0
2.754675125E0,1.954990625E0,1.958400607E0,-8.181786537E-1
2.764673125E0,1.053809166E0,1.783568025E0,6.185597181E-1
2.774671125E0,-1.441575289E-1,1.452384233E0,2.131722927E0
2.784669125E0,-1.504400849E0,1.328802943E0,3.476031065E0
