"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.646305253E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.720021556E1,1.358976452E1
7.746306373E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.690196923E1,1.321251245E1
7.846307315E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.776652302E1,1.382937012E1
7.946308340E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.797159710E1,1.400410388E1
8.046309306E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.742600506E1,1.379901209E1
8.146310248E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.806412819E1,1.416783740E1
8.246311380E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.774641410E1,1.419024772E1
8.346312274E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.802220379E1,1.465627267E1
8.446313323E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.740468652E1,1.437624885E1
8.546314348E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.679539016E1,1.391811842E1
8.646315350E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.769418262E1,1.438709976E1
8.746316351E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.787526330E1,1.433625086E1
8.846317341E1,4.736400116E1,8.513200445E0,4.332551931E2,0.000000000E0,9.043877347E1,2.797626262E1,1.456679318E1
8.946318270E1,4.736400385E1,8.513201977E0,4.337004873E2,0.000000000E0,9.043877378E1,2.756374932E1,1.381683363E1
9.046319272E1,4.736400385E1,8.513201977E0,4.337004873E2,0.000000000E0,9.043877378E1,2.737939322E1,1.389217694E1
9.146320345E1,4.736400385E1,8.513201977E0,4.337004873E2,0.000000000E0,9.043877378E1,2.709397552E1,1.381746708E1
9.246321370E1,4.736400385E1,8.513201977E0,4.337004873E2,0.000000000E0,9.043877378E1,2.749688739E1,1.347747433E1
9.346322347E1,4.736401799E1,8.513186303E0,4.340065715E2,1.720321597E0,4.489841605E-1,2.744347783E1,1.283646725E1
9.446323289E1,4.736401600E1,8.513182473E0,4.340607963E2,0.000000000E0,3.515211286E2,2.645351251E1,1.351763042E1
9.546324302E1,4.736399158E1,8.513199311E0,4.338445354E2,0.000000000E0,5.922705736E1,2.596334887E1,1.333552142E1
9.646325316E1,4.736399158E1,8.513199311E0,4.338445354E2,0.000000000E0,5.922705736E1,2.581987873E1,1.343906750E1
9.746326341E1,4.736399158E1,8.513199311E0,4.338445354E2,0.000000000E0,5.922705736E1,2.602362839E1,1.388906856E1
9.846327306E1,4.736399158E1,8.513199311E0,4.338445354E2,0.000000000E0,5.922705736E1,2.681309157E1,1.495361759E1
9.946328248E1,4.736399158E1,8.513199311E0,4.338445354E2,0.000000000E0,5.922705736E1,2.639683656E1,1.537691912E1
1.004632925E2,4.736398644E1,8.513217548E0,4.331331128E2,3.692112764E-2,5.922706896E1,2.564850314E1,1.510949114E1
1.014633022E2,4.736398443E1,8.513224333E0,4.330983846E2,0.000000000E0,5.922707326E1,2.528858481E1,1.433803299E1
1.024633130E2,4.736398301E1,8.513225747E0,4.329769600E2,3.736741904E-2,5.922707402E1,2.462820492E1,1.349385611E1
1.034633233E2,4.736398134E1,8.513224834E0,4.331001936E2,2.200677304E-2,5.922707316E1,2.504440220E1,1.448463043E1
1.044633323E2,4.736398165E1,8.513221499E0,4.329700755E2,0.000000000E0,5.922707094E1,2.446459630E1,1.395731706E1
1.054633423E2,4.736397524E1,8.513220045E0,4.330681925E2,7.178870572E-2,5.922706903E1,2.449633805E1,1.392536775E1
1.064633520E2,4.736397108E1,8.513219552E0,4.330607543E2,0.000000000E0,5.922706809E1,2.448585367E1,1.299449957E1
1.074633620E2,4.736397578E1,8.513223019E0,4.330921830E2,2.489860077E-1,5.922707112E1,2.405657488E1,1.261538197E1
1.084633715E2,4.736397537E1,8.513221539E0,4.330701509E2,0.000000000E0,5.922707006E1,2.432394874E1,1.194710014E1
1.094633815E2,4.736397092E1,8.513223877E0,4.330049001E2,0.000000000E0,5.922707100E1,2.399591320E1,1.131810484E1
1.104621850E2,4.736397092E1,8.513223877E0,4.330049001E2,0.000000000E0,5.922707100E1,2.507453928E1,1.148522785E1
1.114621792E2,4.736397092E1,8.513223877E0,4.330049001E2,0.000000000E0,5.922707100E1,2.562834906E1,1.127826755E1
1.124621930E2,4.736397092E1,8.513223877E0,4.330049001E2,0.000000000E0,5.922707100E1,2.592775175E1,1.125458224E1
1.134621858E2,4.736397092E1,8.513223877E0,4.330049001E2,0.000000000E0,5.922707100E1,2.646466338E1,1.155917248E1
1.144621855E2,4.736397092E1,8.513223877E0,4.330049001E2,0.000000000E0,5.922707100E1,2.674677337E1,1.196366113E1
1.154622003E2,4.736397092E1,8.513223877E0,4.330049001E2,0.000000000E0,5.922707100E1,2.687753382E1,1.154730388E1
1.164621990E2,4.736397092E1,8.513223877E0,4.330049001E2,0.000000000E0,5.922707100E1,2.795547019E1,1.201016261E1
1.174622028E2,4.736397092E1,8.513223877E0,4.330049001E2,0.000000000E0,5.922707100E1,2.781419534E1,1.224677307E1
1.184622234E2,4.736397092E1,8.513223877E0,4.330049001E2,0.000000000E0,5.922707100E1,2.745680120E1,1.171160168E1
1.194622249E2,4.736397529E1,8.513189163E0,4.333207006E2,0.000000000E0,2.778586850E1,2.799737781E1,1.214809088E1
1.204622322E2,4.736397529E1,8.513189163E0,4.333207006E2,0.000000000E0,2.778586850E1,2.746287413E1,1.169757682E1
1.214622542E2,4.736397529E1,8.513189163E0,4.333207006E2,0.000000000E0,2.778586850E1,2.669745656E1,1.123653168E1
1.224622564E2,4.736397529E1,8.513189163E0,4.333207006E2,0.000000000E0,2.778586850E1,2.671240700E1,1.131091903E1
1.234622636E2,4.736397529E1,8.513189163E0,4.333207006E2,0.000000000E0,2.778586850E1,2.708972631E1,1.128227745E1
1.244622857E2,4.736397529E1,8.513189163E0,4.333207006E2,0.000000000E0,2.778586850E1,2.747432349E1,1.124257014E1
1.254623078E2,4.736397529E1,8.513189163E0,4.333207006E2,0.000000000E0,2.778586850E1,2.781149296E1,1.153396056E1
1.264623283E2,4.736395760E1,8.513199012E0,4.331505665E2,1.250067962E-2,2.778587469E1,2.765414537E1,1.189420631E1
1.274623482E2,4.736395025E1,8.513195694E0,4.334349487E2,0.000000000E0,2.778587214E1,2.736146101E1,1.190314731E1
1.284623687E2,4.736395025E1,8.513195694E0,4.334349487E2,0.000000000E0,2.778587214E1,2.741493685E1,1.218572509E1
1.294623872E2,4.736395025E1,8.513195694E0,4.334349487E2,0.000000000E0,2.778587214E1,2.732693647E1,1.214897716E1
1.304624072E2,4.736395025E1,8.513195694E0,4.334349487E2,0.000000000E0,2.778587214E1,2.790753171E1,1.252956794E1
