"Time (s)","X (hPa)"
2.025805934E2,9.643273926E2
2.036467934E2,9.643263245E2
2.047129984E2,9.643228149E2
2.057792324E2,9.643174744E2
2.068454404E2,9.643155670E2
2.079116464E2,9.643155670E2
2.089778584E2,9.643170166E2
2.100440534E2,9.643186951E2
2.111102764E2,9.643235779E2
2.121764644E2,9.643269348E2
2.132426744E2,9.643275452E2
2.143089234E2,9.643293762E2
2.153751444E2,9.643325043E2
2.164413004E2,9.643350220E2
2.175074724E2,9.643369293E2
2.185736424E2,9.643389130E2
2.196397784E2,9.643389130E2
2.207058974E2,9.643342590E2
2.217720534E2,9.643284607E2
2.228382654E2,9.643250275E2
2.239044964E2,9.643220520E2
2.249706834E2,9.643220520E2
2.260368594E2,9.643225861E2
2.271030334E2,9.643239594E2
2.281691964E2,9.643301392E2
2.292353824E2,9.643354034E2
2.303015794E2,9.643412018E2
2.313677584E2,9.643412018E2
2.324338884E2,9.643324280E2
2.335000184E2,9.643230438E2
2.345661774E2,9.643108368E2
2.356323254E2,9.642992401E2
2.366984854E2,9.642992401E2
2.377646214E2,9.643067169E2
2.388307514E2,9.643151855E2
2.398968994E2,9.643278503E2
2.430610795E2,9.643079376E2
2.440938695E2,9.643126678E2
2.456540858E2,9.642713928E2
2.466868878E2,9.642633057E2
2.477196918E2,9.642552948E2
2.487524758E2,9.642312622E2
2.497852508E2,9.642312622E2
2.499774798E2,9.642196655E2
2.510435578E2,9.642024231E2
2.521096608E2,9.641926575E2
2.531757608E2,9.641926575E2
2.542418778E2,9.641926575E2
2.553079758E2,9.642002869E2
2.563740538E2,9.642199707E2
2.574401288E2,9.642441559E2
2.585062218E2,9.642465210E2
2.595723258E2,9.642465210E2
2.606384218E2,9.642465210E2
2.617045108E2,9.642493439E2
2.627706498E2,9.642500305E2
2.638367768E2,9.642642975E2
2.649029258E2,9.642806244E2
2.659690658E2,9.643006134E2
2.670351918E2,9.643076324E2
2.681013158E2,9.643127441E2
2.691674378E2,9.643128204E2
2.702336188E2,9.643185425E2
2.712997438E2,9.643186951E2
2.723658678E2,9.643212128E2
2.734320468E2,9.643222046E2
2.744981758E2,9.643222046E2
2.755643028E2,9.643222046E2
2.766304128E2,9.643234253E2
2.776965738E2,9.643234253E2
2.787627378E2,9.643225861E2
2.798288808E2,9.643165588E2
2.808949998E2,9.643031311E2
2.819611438E2,9.642908478E2
2.830273258E2,9.642819214E2
2.840934858E2,9.642819214E2
2.851596138E2,9.642820740E2
2.862257308E2,9.642917633E2
2.872918988E2,9.642956543E2
2.883581018E2,9.642956543E2
2.894242788E2,9.642851257E2
2.904905078E2,9.642713928E2
2.915567388E2,9.642631531E2
2.926229978E2,9.642631531E2
2.936892098E2,9.642636871E2
2.947553958E2,9.642639160E2
2.958215558E2,9.642680359E2
2.968877518E2,9.642680359E2
2.979539408E2,9.642642975E2
