"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.092842250E0,-9.970948845E-2,-8.977325559E-1,1.964235306E-1
3.102840250E0,7.811643928E-2,-1.035500526E0,1.278785616E-1
3.112838250E0,2.968410552E-1,-1.194166183E0,5.232656375E-2
3.122836250E0,5.295006633E-1,-1.361756444E0,-2.802203177E-3
3.132834250E0,7.460842133E-1,-1.515636563E0,-2.361841314E-2
3.142832250E0,9.076390266E-1,-1.629716992E0,1.520861126E-2
3.152831250E0,9.985010624E-1,-1.730670929E0,9.952775389E-2
3.162829250E0,1.033112526E0,-1.764958858E0,1.943738461E-1
3.172827250E0,1.021199226E0,-1.744482160E0,2.841990888E-1
3.182825250E0,9.676926136E-1,-1.673502088E0,3.606049120E-1
3.192823250E0,9.046014547E-1,-1.592185736E0,4.196021855E-1
3.202822250E0,8.301770091E-1,-1.504351139E0,4.500018954E-1
3.212820250E0,7.710313797E-1,-1.386490703E0,4.419769645E-1
3.222818250E0,7.412380576E-1,-1.230393767E0,4.008793235E-1
3.232816250E0,7.105401158E-1,-1.089332223E0,3.676428497E-1
3.242814250E0,6.576073766E-1,-9.501700401E-1,3.600166142E-1
3.252812250E0,5.821024179E-1,-8.144477606E-1,3.591112494E-1
3.262811250E0,4.820168018E-1,-7.287682891E-1,3.702776432E-1
3.272809250E0,3.895145357E-1,-6.782601476E-1,3.900888860E-1
3.282807250E0,3.048257530E-1,-6.125956774E-1,4.027144015E-1
3.292805250E0,1.873514801E-1,-5.135149956E-1,3.924010396E-1
3.302803250E0,4.530857876E-2,-3.947185576E-1,3.478841782E-1
3.312801250E0,-1.145282015E-1,-3.228161037E-1,2.938077748E-1
3.322800250E0,-2.688386738E-1,-2.998476923E-1,2.554883361E-1
3.332798250E0,-3.609482050E-1,-3.220758438E-1,2.300151885E-1
3.342796250E0,-3.982929289E-1,-3.658523560E-1,2.224278450E-1
3.352794250E0,-4.040952623E-1,-4.464802444E-1,2.444067895E-1
3.362792250E0,-4.125558734E-1,-5.464113355E-1,2.956694365E-1
3.372791250E0,-4.568378329E-1,-6.145909429E-1,3.707970977E-1
3.382789250E0,-5.374144316E-1,-6.066235304E-1,4.236315489E-1
3.392787250E0,-6.383610964E-1,-5.579127669E-1,4.095786810E-1
