"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.109000704E1,7.015311584E0,5.624853058E0,3.976181488E0
3.110000504E1,7.050937500E0,5.613925781E0,4.031416626E0
3.111000304E1,7.074887695E0,5.657634888E0,4.122427368E0
3.112000104E1,7.080126801E0,5.685027924E0,4.178560638E0
3.112999904E1,7.085814972E0,5.695506134E0,4.243375854E0
3.113999704E1,7.074139252E0,5.698649597E0,4.273762665E0
3.114999504E1,7.040159912E0,5.682782593E0,4.264032898E0
3.115999304E1,7.022047577E0,5.672454071E0,4.245172119E0
3.116999104E1,6.995552673E0,5.652096405E0,4.244872742E0
3.117998904E1,6.951394501E0,5.654341736E0,4.252806244E0
3.118998704E1,6.903194733E0,5.632337494E0,4.232747955E0
3.119998504E1,6.829996948E0,5.595663757E0,4.193978577E0
3.120998304E1,6.819369049E0,5.592669983E0,4.152065735E0
3.121998104E1,6.801855469E0,5.589227142E0,4.116739197E0
3.122997904E1,6.832841034E0,5.603746948E0,4.096531219E0
3.123997704E1,6.891519012E0,5.655389557E0,4.082161102E0
3.124997504E1,6.902595978E0,5.670957184E0,4.077820129E0
3.125997304E1,6.864724731E0,5.669310608E0,4.073928223E0
3.126997104E1,6.843768311E0,5.626649323E0,4.095932465E0
3.127996904E1,6.865024109E0,5.616320801E0,4.157903595E0
3.128996704E1,6.846462708E0,5.633684692E0,4.179907837E0
3.129996504E1,6.827751617E0,5.642815704E0,4.170477448E0
3.130996304E1,6.789880371E0,5.614823914E0,4.134402466E0
3.131996104E1,6.843169556E0,5.642965393E0,4.146676941E0
3.132995904E1,6.903344421E0,5.696104889E0,4.187691650E0
3.133995704E1,6.957531738E0,5.706583099E0,4.226910095E0
3.134995504E1,6.987768860E0,5.689069519E0,4.255051575E0
3.135995304E1,7.000492401E0,5.686674500E0,4.322860565E0
3.136995104E1,7.006330261E0,5.671406250E0,4.356390839E0
3.137994904E1,6.941215668E0,5.666466522E0,4.258195038E0
3.138994704E1,6.840624847E0,5.642067261E0,4.117787018E0
3.139994504E1,6.817572784E0,5.630391541E0,4.058959351E0
3.140994304E1,6.829697571E0,5.654790802E0,4.053720245E0
3.141994104E1,6.884483643E0,5.679040375E0,4.112398224E0
3.142993904E1,6.942413177E0,5.709427185E0,4.165837097E0
3.143993704E1,7.013515320E0,5.714666290E0,4.214785309E0
3.144993504E1,7.078330536E0,5.730084229E0,4.237687683E0
3.145993304E1,7.093598785E0,5.713917847E0,4.164789276E0
3.146993104E1,7.115153961E0,5.723946991E0,4.112547913E0
3.147992904E1,7.134463806E0,5.725593567E0,4.107458496E0
3.148992604E1,7.073839874E0,5.696104889E0,4.091441803E0
3.149992404E1,6.985673218E0,5.660928040E0,4.066892853E0
3.150992204E1,6.912625122E0,5.633834381E0,4.034111023E0
3.151992004E1,6.840624847E0,5.608836365E0,3.973187714E0
3.152991804E1,6.846013641E0,5.614973602E0,3.894451447E0
3.153991604E1,6.827302551E0,5.606740723E0,3.894451447E0
3.154991404E1,6.829697571E0,5.602848816E0,3.889960785E0
3.155991204E1,6.874604187E0,5.616171112E0,3.933669891E0
3.156991004E1,6.907535706E0,5.631139984E0,4.000580750E0
3.157990804E1,6.940766602E0,5.639073486E0,4.035607910E0
3.158990604E1,6.994055786E0,5.665718079E0,4.020489349E0
3.159990404E1,7.023843842E0,5.669909363E0,4.024980011E0
3.160990204E1,6.980284424E0,5.673801270E0,4.044738922E0
3.161990004E1,6.963968353E0,5.667963409E0,4.069287872E0
3.162989804E1,6.906188507E0,5.655988312E0,4.127067719E0
3.163989604E1,6.854246521E0,5.626799011E0,4.148622894E0
3.164989404E1,6.877897339E0,5.613626404E0,4.188140717E0
3.165989204E1,6.875502319E0,5.660179596E0,4.182452545E0
3.166989004E1,6.864425354E0,5.678740997E0,4.172124023E0
3.167988804E1,6.875053253E0,5.670657806E0,4.171375580E0
3.168988604E1,6.884633331E0,5.678291931E0,4.163741455E0
3.169988404E1,6.864874420E0,5.698649597E0,4.147425385E0
3.170988204E1,6.850953369E0,5.709277496E0,4.131259003E0
3.171988004E1,6.829847260E0,5.702990570E0,4.133953400E0
3.172987804E1,6.839577026E0,5.723797302E0,4.111051025E0
3.173987604E1,6.828200684E0,5.740562439E0,4.092639313E0
3.174987404E1,6.878346405E0,5.793103180E0,4.067491608E0
3.175987204E1,6.925648041E0,5.803731079E0,4.097878418E0
3.176987004E1,6.984176331E0,5.820645905E0,4.132755890E0
3.177986804E1,7.055128784E0,5.837710419E0,4.171076202E0
3.178986604E1,7.123237152E0,5.856571198E0,4.214635620E0
3.179986404E1,7.148833923E0,5.876779175E0,4.213138733E0
3.180986204E1,7.127877502E0,5.875282288E0,4.156257019E0
3.181986004E1,7.034920807E0,5.860163727E0,4.095782776E0
3.182985817E1,6.959627380E0,5.805976410E0,4.049379272E0
3.183985617E1,6.919361115E0,5.772595825E0,4.066294098E0
3.184985417E1,6.904392242E0,5.762267303E0,4.102518768E0
3.185985217E1,6.853647766E0,5.745202789E0,4.119583282E0
3.186985017E1,6.845414886E0,5.731880493E0,4.125870209E0
3.187984817E1,6.822213135E0,5.707181854E0,4.134252777E0
3.188984617E1,6.729705505E0,5.716462555E0,4.108506317E0
3.189984417E1,6.604116669E0,5.672454071E0,4.049379272E0
3.190984217E1,6.537205811E0,5.640570374E0,4.012256470E0
3.191984017E1,6.548133087E0,5.641618195E0,4.048630829E0
3.192983817E1,6.615792389E0,5.680537262E0,4.180207214E0
3.193983617E1,6.727011108E0,5.736969910E0,4.337230682E0
3.194983417E1,6.794221344E0,5.770350494E0,4.431085510E0
3.195983117E1,6.839577026E0,5.755231934E0,4.398453369E0
3.196982917E1,6.859485626E0,5.740562439E0,4.286336517E0
3.197982717E1,6.918462982E0,5.754333801E0,4.183200989E0
3.198982517E1,6.936725006E0,5.766458588E0,4.125570831E0
3.199982317E1,6.943760376E0,5.748046875E0,4.140539703E0
3.200982117E1,6.998396759E0,5.743406525E0,4.214934998E0
3.201981917E1,7.089407501E0,5.723048859E0,4.284091187E0
3.202981717E1,7.067552948E0,5.714366913E0,4.258943481E0
3.203981517E1,7.068002014E0,5.648803253E0,4.174219666E0
3.204981317E1,7.045997772E0,5.605543213E0,4.007466431E0
3.205981117E1,7.028035126E0,5.589077454E0,3.837719421E0
3.206980917E1,7.029382324E0,5.592220917E0,3.769012299E0
3.207980717E1,7.019802246E0,5.580245819E0,3.720662842E0
3.208980517E1,6.930438080E0,5.551804962E0,3.654799805E0
3.209980317E1,6.797963562E0,5.507646790E0,3.635939026E0
3.210980117E1,6.657106476E0,5.466931458E0,3.657194824E0
3.211979917E1,6.533463593E0,5.429359589E0,3.682192841E0
3.212979717E1,6.555767212E0,5.431904297E0,3.740870819E0
3.213979517E1,6.601122894E0,5.486840057E0,3.800297241E0
3.214979317E1,6.636299744E0,5.534141693E0,3.879781952E0
3.215979117E1,6.684948578E0,5.566324768E0,3.960314484E0
3.216978917E1,6.771468658E0,5.651647339E0,4.022884369E0
3.217978717E1,6.866670685E0,5.725743256E0,4.087699585E0
3.218978517E1,6.888225861E0,5.770649872E0,4.138444061E0
3.219978317E1,6.923103333E0,5.776188354E0,4.223467255E0
3.220978117E1,6.972051544E0,5.781876526E0,4.300556946E0
3.221977917E1,7.015161896E0,5.832171936E0,4.398303680E0
3.222977717E1,7.083869019E0,5.927673340E0,4.416565704E0
3.223977517E1,7.069947968E0,5.947432251E0,4.386178894E0
3.224977317E1,7.028184814E0,5.906866608E0,4.346511383E0
3.225977117E1,7.013814697E0,5.888454895E0,4.309388580E0
3.226976917E1,7.024143219E0,5.906567230E0,4.262086945E0
3.227976717E1,7.094796295E0,5.915698242E0,4.209845581E0
3.228976517E1,7.147037659E0,5.924829254E0,4.140839081E0
3.229976317E1,7.136260071E0,5.903423767E0,4.043391724E0
3.230976117E1,7.077432404E0,5.844296722E0,3.929029541E0
3.231975917E1,7.033723297E0,5.829028473E0,3.833528137E0
3.232975717E1,6.967411194E0,5.843847656E0,3.770658875E0
3.233975517E1,6.848857727E0,5.828878784E0,3.695066071E0
3.234975217E1,6.824009399E0,5.777385864E0,3.679348755E0
3.235975017E1,6.803801422E0,5.723797302E0,3.766916656E0
3.236974817E1,6.771019592E0,5.676345978E0,3.938010864E0
3.237974617E1,6.825356598E0,5.619464264E0,4.159550171E0
3.238974417E1,6.985224152E0,5.667963409E0,4.395758972E0
3.239974217E1,7.141648865E0,5.739514618E0,4.485123138E0
3.240974017E1,7.175628204E0,5.752687225E0,4.281696167E0
3.241973817E1,7.059170380E0,5.704337769E0,4.012855225E0
3.242973617E1,6.929090881E0,5.634433136E0,3.861519928E0
3.243973417E1,6.823111267E0,5.568270721E0,3.883224792E0
3.244973217E1,6.768923950E0,5.522765350E0,4.006268921E0
3.245973017E1,6.827003174E0,5.545368347E0,4.180805969E0
3.246972817E1,6.914720764E0,5.579647064E0,4.283791809E0
3.247972617E1,6.971602478E0,5.610482941E0,4.296215973E0
3.248972417E1,7.002138977E0,5.635480957E0,4.227658539E0
3.249972217E1,7.050039368E0,5.609584808E0,4.163591766E0
3.250972017E1,7.093299408E0,5.614823914E0,4.089944916E0
3.251971817E1,7.166197815E0,5.623056793E0,4.066443787E0
3.252971617E1,7.251670074E0,5.655988312E0,4.093238068E0
3.253971417E1,7.288194122E0,5.693260803E0,4.101470947E0
3.254971217E1,7.302414551E0,5.692063293E0,4.035757599E0
3.255971017E1,7.307054901E0,5.697003021E0,3.977828064E0
3.256970817E1,7.276518402E0,5.676645355E0,3.917952576E0
3.257970617E1,7.255861359E0,5.651647339E0,3.855532379E0
3.258970417E1,7.237299957E0,5.607040100E0,3.798650665E0
3.259970217E1,7.273225250E0,5.598807220E0,3.743714905E0
3.260970017E1,7.299869843E0,5.593119049E0,3.652554474E0
3.261969817E1,7.205715637E0,5.567522278E0,3.501518555E0
3.262969617E1,7.136559448E0,5.487139435E0,3.409909058E0
3.263969417E1,7.026238861E0,5.442382507E0,3.320395203E0
3.264969217E1,6.861730957E0,5.414540405E0,3.225941620E0
3.265969017E1,6.683751068E0,5.400170288E0,3.211870880E0
3.266968817E1,6.607858887E0,5.382956085E0,3.332220612E0
3.267968617E1,6.547384644E0,5.393733673E0,3.567531281E0
3.268968417E1,6.520141296E0,5.415438538E0,3.838916931E0
3.269968217E1,6.527925110E0,5.421276398E0,4.103117523E0
3.270967917E1,6.561904449E0,5.467230835E0,4.268523560E0
3.271967717E1,6.670129395E0,5.549110565E0,4.380490723E0
3.272967517E1,6.796167297E0,5.639073486E0,4.450694733E0
3.273967317E1,6.901697845E0,5.688470764E0,4.467160492E0
3.274967117E1,6.947801971E0,5.732030182E0,4.492757263E0
3.275966917E1,6.960675201E0,5.726791077E0,4.542753296E0
3.276966717E1,7.005881195E0,5.726042633E0,4.582121429E0
3.277966517E1,7.064409485E0,5.774841156E0,4.592449951E0
3.278966317E1,7.129224701E0,5.834866333E0,4.527035980E0
3.279966117E1,7.144043884E0,5.820196838E0,4.358935547E0
3.280965917E1,7.117698669E0,5.823939056E0,4.156855774E0
3.281965717E1,7.050638123E0,5.788013763E0,3.949985962E0
3.282965575E1,7.004084930E0,5.778283997E0,3.828289032E0
3.283965375E1,6.988217926E0,5.759423218E0,3.828139343E0
3.284965175E1,7.021897888E0,5.777385864E0,3.821103973E0
3.285964975E1,7.061266022E0,5.810616760E0,3.867956543E0
3.286964775E1,7.072642365E0,5.813909912E0,3.951931915E0
3.287964575E1,7.128925323E0,5.771997070E0,4.055516510E0
3.288964375E1,7.132817230E0,5.757626953E0,4.126019897E0
3.289964175E1,7.178771667E0,5.793252869E0,4.180805969E0
3.290963975E1,7.189249878E0,5.792803802E0,4.204157410E0
3.291963775E1,7.147935791E0,5.769751740E0,4.178710327E0
3.292963575E1,7.070995789E0,5.717809753E0,4.134552155E0
3.293963375E1,6.971003723E0,5.674400024E0,4.129163361E0
3.294963175E1,6.878795471E0,5.619164886E0,4.116140442E0
3.295962975E1,6.830895081E0,5.574258270E0,4.147275696E0
3.296962775E1,6.827302551E0,5.560636597E0,4.188140717E0
3.297962575E1,6.862030334E0,5.597010956E0,4.180057526E0
3.298962375E1,6.915020142E0,5.604495392E0,4.099225616E0
3.299962175E1,6.977739716E0,5.599555664E0,3.993844757E0
3.300961975E1,7.000642090E0,5.624403992E0,3.888463898E0
3.301961775E1,7.043453064E0,5.617817688E0,3.891607361E0
3.302961575E1,7.130571899E0,5.632337494E0,3.921395416E0
3.303961375E1,7.143145752E0,5.659131775E0,3.969445496E0
3.304961075E1,7.171586609E0,5.626349945E0,4.010909271E0
3.305960875E1,7.207661591E0,5.613626404E0,4.022584991E0
3.306960675E1,7.266788635E0,5.660179596E0,3.986809387E0
3.307960475E1,7.273075562E0,5.684279480E0,3.945495300E0
3.308960275E1,7.228168945E0,5.661676483E0,3.874991913E0
3.309960075E1,7.122189331E0,5.611231384E0,3.846700745E0
3.310959875E1,7.025490417E0,5.545518036E0,3.815116425E0
3.311959675E1,6.948700104E0,5.525010681E0,3.824397125E0
3.312959475E1,6.838229828E0,5.515131226E0,3.817960510E0
3.313959275E1,6.743177490E0,5.471272430E0,3.821253662E0
3.314959075E1,6.685098267E0,5.453010406E0,3.864513702E0
3.315958875E1,6.695576477E0,5.470823364E0,3.964805145E0
3.316958675E1,6.724316711E0,5.520220642E0,4.048930206E0
3.317958475E1,6.765181732E0,5.520220642E0,4.107308807E0
3.318958275E1,6.836882629E0,5.538482666E0,4.117787018E0
3.319958075E1,6.980583801E0,5.579497375E0,4.090992737E0
3.320957875E1,7.097041626E0,5.653144226E0,4.048331451E0
3.321957675E1,7.170389099E0,5.685626678E0,4.040847015E0
3.322957475E1,7.112459564E0,5.654192047E0,4.058659973E0
3.323957275E1,7.039411469E0,5.611680450E0,4.076023865E0
3.324957075E1,6.967111816E0,5.594615936E0,4.116140442E0
3.325956875E1,6.970105591E0,5.618266754E0,4.150269470E0
3.326956675E1,7.004983063E0,5.636229401E0,4.197421417E0
3.327956475E1,7.046147461E0,5.666466522E0,4.232149200E0
3.328956275E1,7.081024933E0,5.725144501E0,4.233496399E0
3.329956075E1,7.070397034E0,5.725294189E0,4.211342468E0
3.330955875E1,7.051386566E0,5.710774384E0,4.200415192E0
3.331955675E1,7.113956451E0,5.734574890E0,4.215084686E0
3.332955475E1,7.285948792E0,5.789510651E0,4.313879242E0
3.333955175E1,7.376061401E0,5.863756256E0,4.358336792E0
3.334954975E1,7.373816071E0,5.879772949E0,4.334087219E0
3.335954775E1,7.300468597E0,5.819897461E0,4.247716827E0
3.336954575E1,7.182364197E0,5.770200806E0,4.103117523E0
