"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.450053125E0,-8.672991991E-1,-3.712250292E-1,3.186118901E-1
1.460050125E0,-1.112984419E0,-1.482633054E-1,-3.728494793E-2
1.470047125E0,-1.347902656E0,4.104840104E-3,-3.343077600E-1
1.480044125E0,-1.509691358E0,1.951096021E-2,-5.219677091E-1
1.490042125E0,-1.556507111E0,-9.953074902E-2,-6.181986928E-1
1.500039125E0,-1.480650425E0,-3.400613368E-1,-6.601855755E-1
1.510036125E0,-1.318815589E0,-6.522829533E-1,-6.888368130E-1
1.520033125E0,-1.081640005E0,-9.562689662E-1,-7.080408931E-1
1.530030125E0,-7.533954978E-1,-1.144784212E0,-7.031074762E-1
1.540027125E0,-4.206138253E-1,-1.202215433E0,-6.957544684E-1
1.550024125E0,-1.834724844E-1,-1.202403188E0,-6.761343479E-1
1.560022125E0,-6.684041768E-2,-1.219827890E0,-6.477863193E-1
1.570019125E0,-8.133866638E-2,-1.234336376E0,-6.242252588E-1
1.580016125E0,-2.138288021E-1,-1.236505985E0,-6.201500893E-1
1.590013125E0,-3.924319446E-1,-1.284588456E0,-5.612403154E-1
1.600010125E0,-4.823799431E-1,-1.384196639E0,-3.789909184E-1
1.610007125E0,-3.270209730E-1,-1.602859855E0,4.551561177E-2
1.620004125E0,9.197257459E-2,-1.796762466E0,5.490778089E-1
1.630002125E0,4.318836331E-1,-1.958358169E0,9.664505124E-1
1.639999125E0,1.915205717E-1,-2.070858002E0,1.563860893E0
1.649996125E0,-6.319615841E-1,-1.980902195E0,2.426380873E0
1.659993125E0,-1.604353666E0,-1.894336224E0,3.613190889E0
1.669990125E0,-2.352833748E0,-1.925384760E0,5.004963875E0
1.679987125E0,-2.816253901E0,-1.991398931E0,6.108510494E0
1.689984125E0,-3.055507183E0,-1.989711285E0,6.458714485E0
1.699981125E0,-2.920188665E0,-1.873253107E0,5.982679844E0
1.709979125E0,-2.418468475E0,-1.165201187E0,4.522367954E0
1.719976125E0,-1.705985308E0,5.500699207E-2,2.120724440E0
1.729973125E0,-1.122551918E0,6.583549380E-1,-4.573614299E-1
1.739970125E0,-8.042148352E-1,2.269036472E-1,-2.136385918E0
1.749967125E0,-5.500422120E-1,-7.239149809E-1,-2.297863722E0
1.759964125E0,-2.305861861E-1,-1.456371903E0,-1.502991319E0
1.769961125E0,1.112628803E-1,-1.875956416E0,-4.406675994E-1
1.779959125E0,4.120727777E-1,-2.161659002E0,2.658700943E-1
1.789956125E0,6.418468356E-1,-2.233233690E0,4.342680275E-1
1.799953125E0,7.317791581E-1,-1.912351966E0,8.019224554E-2
1.809950125E0,7.034332752E-1,-1.353198528E0,-5.559250712E-1
1.819947125E0,5.984330773E-1,-8.955364823E-1,-1.060650587E0
1.829944125E0,5.133792162E-1,-5.735543966E-1,-1.117241025E0
1.839941125E0,5.645387769E-1,-2.834959626E-1,-8.484138250E-1
1.849939125E0,7.584182620E-1,6.137238443E-2,-5.387635827E-1
1.859936125E0,9.512540698E-1,2.966725230E-1,-2.251292169E-1
1.869933125E0,1.034182072E0,4.219121039E-1,4.108670354E-2
1.879930125E0,9.950748682E-1,5.924100876E-1,1.516648829E-1
1.889927125E0,9.129314423E-1,8.419278264E-1,9.285461903E-2
1.899925000E0,9.351168871E-1,1.159122586E0,-7.438870519E-2
1.909922000E0,1.041732550E0,1.498337388E0,-3.031341136E-1
1.919919000E0,1.089105964E0,1.724851251E0,-5.522081852E-1
1.929917000E0,9.582073689E-1,1.717958927E0,-8.142731190E-1
1.939914000E0,6.711220741E-1,1.502892256E0,-1.051071286E0
1.949911000E0,2.627746165E-1,1.141256213E0,-1.236204147E0
1.959908000E0,-1.966361254E-1,7.611951828E-1,-1.367589355E0
1.969905000E0,-4.547646940E-1,4.245484471E-1,-1.439077020E0
1.979902000E0,-3.468957543E-1,2.538337111E-1,-1.487401724E0
1.989899000E0,7.935987413E-2,1.610640883E-1,-1.496863246E0
1.999897000E0,7.458380461E-1,1.110294238E-1,-1.476292014E0
2.009894000E0,1.503493905E0,2.438538671E-1,-1.494287133E0
2.019891000E0,2.137711287E0,3.912049830E-1,-1.604336500E0
2.029888000E0,2.583082914E0,4.216142595E-1,-1.832823277E0
2.039885000E0,2.876025677E0,4.508571029E-1,-2.136471272E0
2.049882000E0,2.944568634E0,5.737272501E-1,-2.416935682E0
2.059879000E0,2.770892859E0,7.400951385E-1,-2.551039219E0
2.069877000E0,2.442861795E0,9.322233200E-1,-2.530387640E0
2.079874000E0,2.002594471E0,1.099475622E0,-2.363646984E0
2.089871000E0,1.494424820E0,1.216817498E0,-2.099859953E0
2.099868000E0,1.077953577E0,1.312830925E0,-1.770836949E0
2.109865000E0,8.054496646E-1,1.358310223E0,-1.413981199E0
2.119862000E0,6.147295237E-1,1.386093974E0,-1.126944423E0
2.129859000E0,4.831429720E-1,1.392122984E0,-8.833258152E-1
2.139856000E0,4.670060575E-1,1.393527508E0,-7.614989877E-1
2.149854000E0,5.067238212E-1,1.493698835E0,-7.738460302E-1
2.159851000E0,4.349955916E-1,1.678122163E0,-8.077917099E-1
2.169848000E0,2.267368138E-1,1.891827941E0,-6.785511374E-1
2.179845000E0,-6.461859494E-2,2.010539770E0,-3.799285293E-1
2.189842000E0,-3.362128735E-1,1.491676688E0,-6.228594854E-2
2.199839000E0,-9.283109754E-2,6.932953596E-1,1.013418585E-1
2.209836000E0,7.651818991E-1,2.847875357E-1,1.939210482E-2
2.219833000E0,1.700723290E0,-1.934674680E-1,-3.592382967E-1
2.229831000E0,2.301786184E0,-5.058648586E-1,-5.437316298E-1
2.239828000E0,2.637779951E0,-6.732671857E-1,-7.502869368E-1
2.249825000E0,2.909101725E0,-8.179040551E-1,-1.138436556E0
2.259822000E0,2.908530951E0,-1.065819383E0,-1.365109086E0
2.269819000E0,2.601709843E0,-1.192008138E0,-1.270160675E0
2.279816000E0,2.065438032E0,-1.140158534E0,-1.121608496E0
2.289813000E0,1.364961863E0,-1.046888471E0,-1.232030869E0
2.299811000E0,4.883446097E-1,-9.540762305E-1,-1.659763813E0
2.309808000E0,-4.420514405E-1,-8.549087644E-1,-2.205547094E0
2.319805000E0,-1.060689569E0,-5.733284950E-1,-2.625735998E0
2.329802000E0,-1.193112373E0,-2.818316780E-2,-2.750013113E0
2.339799000E0,-9.148833156E-1,4.989584982E-1,-2.593526840E0
2.349796000E0,-2.840215564E-1,8.937000632E-1,-2.251598358E0
2.359793000E0,5.179086924E-1,1.067857504E0,-1.790679216E0
2.369790000E0,1.149688482E0,7.872178555E-1,-1.338074565E0
2.379788000E0,1.521562457E0,9.820611775E-2,-1.067775369E0
2.389785000E0,1.611162782E0,-7.340863943E-1,-1.057950854E0
2.399782000E0,1.276728868E0,-1.431544065E0,-1.153428674E0
2.409779000E0,4.484489560E-1,-1.733837247E0,-9.841718078E-1
2.419776000E0,-6.267216802E-1,-1.399045706E0,-4.610166848E-1
2.429773000E0,-1.584841132E0,-6.346656084E-1,1.473352909E-1
2.439770000E0,-2.180211067E0,2.228242904E-1,6.540464163E-1
2.449767000E0,-2.430804253E0,8.385472298E-1,9.967347383E-1
2.459765000E0,-2.383363724E0,1.056361556E0,1.230751991E0
2.469762000E0,-2.109583616E0,8.994311094E-1,1.453523874E0
2.479759000E0,-1.728729129E0,5.267901421E-1,1.694921136E0
2.489756000E0,-1.370693326E0,8.048207313E-2,1.936461568E0
2.499753000E0,-1.097015738E0,-2.977666855E-1,2.158004522E0
2.509750000E0,-8.806465268E-1,-4.684587419E-1,2.331898451E0
2.519747000E0,-7.492450476E-1,-4.338677227E-1,2.454677343E0
2.529745000E0,-7.188376784E-1,-2.782436013E-1,2.524946451E0
2.539742000E0,-7.474706769E-1,-7.906047255E-2,2.581216335E0
2.549739000E0,-8.165465593E-1,1.154663190E-1,2.628667593E0
2.559736000E0,-8.956994414E-1,2.451052666E-1,2.698190689E0
2.569733000E0,-9.169466496E-1,2.705327868E-1,2.758769512E0
2.579730000E0,-8.317356110E-1,1.624289304E-1,2.814937592E0
2.589727000E0,-6.739683747E-1,-1.122792140E-1,2.862651587E0
2.599724000E0,-4.709084630E-1,-4.831734002E-1,2.906332493E0
2.609722000E0,-2.911809385E-1,-8.274953365E-1,2.943023682E0
2.619719000E0,-2.056447268E-1,-1.053580880E0,2.980270624E0
2.629716000E0,-2.234062105E-1,-1.155142307E0,3.031439543E0
2.639713000E0,-3.048541844E-1,-1.123276234E0,3.070840836E0
2.649710000E0,-4.341089129E-1,-9.876717925E-1,3.105318785E0
2.659707000E0,-5.650629997E-1,-8.389734030E-1,3.127607584E0
2.669704000E0,-6.583216190E-1,-8.034815788E-1,3.095732212E0
2.679701000E0,-6.647387743E-1,-9.427118897E-1,2.979764938E0
2.689699000E0,-5.462051630E-1,-1.206549406E0,2.730895519E0
2.699696000E0,-3.359123766E-1,-1.423252702E0,2.477235079E0
2.709693000E0,-8.830366284E-2,-1.554695845E0,2.518979549E0
2.719690000E0,1.409441680E-1,-1.702667713E0,2.982103109E0
2.729687000E0,4.506620467E-1,-1.562351346E0,3.697029829E0
2.739684000E0,7.537912726E-1,-1.069990396E0,4.312703609E0
2.749681000E0,9.235917926E-1,-7.283761501E-1,4.502676964E0
2.759678000E0,1.244315982E0,-9.494648576E-1,4.711271763E0
2.769676000E0,1.659057975E0,-1.445583701E0,4.924962521E0
2.779673000E0,1.929698825E0,-1.753708005E0,4.960409164E0
2.789670000E0,2.256603241E0,-1.689964890E0,4.702671051E0
2.799667000E0,2.631871462E0,-1.336796165E0,3.912363052E0
2.809664000E0,2.713306904E0,-9.901198149E-1,2.749434471E0
2.819661000E0,2.131423235E0,-8.125131130E-1,1.530756235E0
2.829658000E0,8.923990726E-1,-7.803670764E-1,4.961820543E-1
