"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.305667079E1,-1.549667358E0,-4.598588562E1,1.342017365E1
1.306666779E1,-2.082275391E0,-4.618923187E1,1.286692429E1
1.307666479E1,-2.944595337E0,-4.614736938E1,1.222523117E1
1.308666179E1,-4.358428955E0,-4.638058472E1,1.096076965E1
1.309665879E1,-5.747039795E0,-4.648979950E1,9.717201233E0
1.310665579E1,-7.672027588E0,-4.637587738E1,8.344146729E0
1.311665379E1,-9.201034546E0,-4.620906067E1,7.514785767E0
1.312665079E1,-1.111531067E1,-4.599404144E1,6.938938141E0
1.313664779E1,-1.287748718E1,-4.547901154E1,6.614231110E0
1.314664479E1,-1.521078491E1,-4.479991913E1,6.414226532E0
1.315664179E1,-1.757484436E1,-4.374123764E1,6.556728363E0
1.316663879E1,-2.052284241E1,-4.245772934E1,6.939826965E0
1.317663579E1,-2.318156433E1,-4.069411850E1,7.664653778E0
1.318663279E1,-2.592323303E1,-3.922169876E1,8.430122375E0
1.319662979E1,-2.770587158E1,-3.769815063E1,8.790794373E0
1.320662679E1,-2.907295227E1,-3.658205414E1,9.283050537E0
1.321662379E1,-2.971096802E1,-3.573915100E1,9.647102356E0
1.322662079E1,-3.035983276E1,-3.515671921E1,1.008309174E1
1.323661779E1,-3.066481018E1,-3.490430450E1,1.047253799E1
1.324661479E1,-3.087089539E1,-3.450994110E1,1.109839630E1
1.325661179E1,-3.113977051E1,-3.399700165E1,1.178678131E1
1.326660879E1,-3.159484863E1,-3.327147675E1,1.240058899E1
1.327660579E1,-3.168460083E1,-3.273034286E1,1.308449936E1
1.328660279E1,-3.235292053E1,-3.203281784E1,1.439536476E1
1.329659979E1,-3.244384766E1,-3.134884644E1,1.531178284E1
1.330659679E1,-3.264747620E1,-3.100270844E1,1.594528961E1
1.331659379E1,-3.252200317E1,-3.092295647E1,1.628413773E1
1.332659079E1,-3.259512329E1,-3.092326164E1,1.615537453E1
1.333658779E1,-3.248905945E1,-3.116308975E1,1.570017815E1
1.334658479E1,-3.255229187E1,-3.146705627E1,1.534571838E1
1.335658179E1,-3.180148315E1,-3.207044983E1,1.437566376E1
1.336657879E1,-3.176989746E1,-3.274391937E1,1.354425621E1
1.337657579E1,-3.137197876E1,-3.343908310E1,1.302617264E1
1.338657279E1,-3.105584717E1,-3.398349762E1,1.242580414E1
1.339657079E1,-3.043414307E1,-3.468527222E1,1.196393967E1
1.340656779E1,-3.016072083E1,-3.502356720E1,1.177229309E1
1.341656479E1,-2.949835205E1,-3.556231689E1,1.161719513E1
1.342656179E1,-2.938435364E1,-3.595722198E1,1.128451538E1
1.343655879E1,-2.884384155E1,-3.616311646E1,1.102596283E1
1.344655579E1,-2.878311157E1,-3.649245453E1,1.095419693E1
1.345655279E1,-2.827967834E1,-3.660733795E1,1.063766479E1
1.346654979E1,-2.822119141E1,-3.702665710E1,1.048877716E1
1.347654679E1,-2.753233337E1,-3.719647980E1,1.034875870E1
1.348654379E1,-2.701252747E1,-3.755438995E1,1.011516953E1
1.349654079E1,-2.647158813E1,-3.792898178E1,1.020248032E1
1.350653779E1,-2.612327576E1,-3.844017410E1,1.013583755E1
1.351653479E1,-2.521421814E1,-3.882540512E1,1.038042831E1
1.352653179E1,-2.464617920E1,-3.915121841E1,1.050478363E1
1.353652879E1,-2.366780090E1,-3.942111969E1,1.064147949E1
1.354652579E1,-2.306222534E1,-3.993704987E1,1.097885895E1
1.355652279E1,-2.209477234E1,-4.027274323E1,1.123580551E1
1.356651979E1,-2.132601929E1,-4.077558136E1,1.142736053E1
1.357651679E1,-2.024534607E1,-4.118459702E1,1.182980347E1
1.358651379E1,-1.919563293E1,-4.160324478E1,1.216180038E1
1.359651079E1,-1.783160400E1,-4.181962585E1,1.250594330E1
1.360650779E1,-1.709265137E1,-4.210813141E1,1.271949387E1
1.361650479E1,-1.584063721E1,-4.220627594E1,1.295640564E1
1.362650179E1,-1.488465881E1,-4.265125275E1,1.330910492E1
1.363649879E1,-1.374563599E1,-4.249166870E1,1.396111298E1
1.364649579E1,-1.305723572E1,-4.254924774E1,1.485889816E1
1.365649279E1,-1.261885071E1,-4.228958893E1,1.573363113E1
1.366648979E1,-1.239807129E1,-4.205790710E1,1.636096764E1
1.367648679E1,-1.206877136E1,-4.164864349E1,1.725253487E1
1.368648379E1,-1.191069031E1,-4.146730042E1,1.820200157E1
